,Body
417,"Abgeschrägte Pfannenwender
Kuchengabeln mit scharfer Seitenkante
Fischmesser
Stielkasserolen mit rechtwinkelig angesetztem Ausguss
manche Bankomaten
Musikinstrumente aller Art"
418,"maus - rechts
touchpad - links"
419,"ich als Linkshänderin finde es selbst immer total merkwürdig, wenn ich andere Linkshänder hantieren sehe.
Schneiden mit dem Messer - ein Wahnsinn ;-)"
420,"häklen und stricken rechts - funktioniert prima
schreiben rechts - Horror"
421,"die post und ihre angeketteten stifte bzw. neuerdings auch diese unterschriften-pads sind mein feind. die ketten sind meist zu kurz und die stifthalter sind am tisch angeklebt. außerdem befinden sie sich gefühlte 3mm von der trennwand entfernt...eine unterschrift, die halbwegs was mit meiner zu tun hat, wird da schon eher schwer ^^
ansonsten ist das leben mit einer linkshänderschere viel angenehmer. die maus verwend ich mit rechts, das touchpad mit links. außerdem hab ich eine ausgeprägte rechts-links-schwäche...aber ob das was mit der linkshändigkeit zu tun hat, glaub ich nicht. gibt's ja auch bei rechtshändern. oder?"
422,"Ich schreibe mit links, Computermaus mit rechts, Löffel mit links, Ball werfen mit rechts, ...

Ringbuchblöcke und Mappen finde ich blöd, diese ""Linkshänderblöcke"" sind auch nicht besser, da sind die Ringe halt oben und auf dem ersten viertel der Seite im Weg. Normalen Rechtshänderblock einfach umdrehen :)

Beim SMS schreiben mit der rechten stelle ich mich blöd an. Sportarten wo man einen Schläger in der Hand hält gehen auch nur mit links.
Hammer, Schraubenzieher und andere Werkzeuge gehen auch mit rechts halbwegs. Schere geht auch so halbwegs mit rechts, irgendwie muss man sich da die Fingernägel schneiden :) Nagelzwicker kann ich nämlich mit gar keiner Hand bedienen.

Wie ist das bei euch mit den Füßen? Fußball spiele ich mit rechts :)"
423,"Dass Lehrerinnen anscheinend bis heute nicht imstande sind linkshändigen Kindern beizubringen, wie sie am besten die Hand beim Schreiben halten, finde ich schon bemerkenswert.
Ich sehe jedenfalls nach wie vor verkrampft und verdreht gehaltene linke Hände."
424,Im Auto schaltet doch eh niemand mehr.
425,wieso muss man da umdenken?
426,"Worin würde die pornographische Rechtshänderbevorzugung denn bestehen? Die Geschlechtsorgane sind ja unpaarig angelegt, Zunge und Mund sowie Anus detto. Die Wahl der Masturbationshand bleibt Ihnen überlassen. Bitte um Aufklärung."
427,"im Büro rechts, daheim links"
428,Das StG 77 lässt sich ganz easy auf linksauswurf umstellen...
429,Damit die rechte Hand für die Beifahrerin freibleibt.
430,"Das hatte ich ganz verdrängt, das war schrecklich. Scheren haben mich auch brutal genervt."
431,"Sch... Maus im Büro, daheim nur mit Pad."
432,"dann hast aber eine blöde schwester erwischt. bei denen, die ich kenne, reichts, ihnen einmal zu sagen, dass man linkshänder ist"
433,"Die Entfernung des linksseitig am Kolben angebrachten Auswurfverdeckungsdeckels bringt nur dann etwas, wenn Sie auch den Verschluss tauschen. Der für Linksauswurf wurde allerdings nie angeschafft..."
434,"Da schauen die Rechtshänder immer ein wenig blöd. Aber das ist auch schon der einzige Vorteil, der mir einfällt."
435,"Z. B. Wenn sich Links- und Rechtshänder küssen wollen, muss einer den Kopf in die andere Richtung als gewohnt drehen. Etc. Etc. Es ist dasselbe wie beim Händeverschränken. (Daran erkennt man gleich, ob jemand links- oder Rechtshänder ist)"
436,"Kann gar nicht verstehen, wie ein Rechtshänder mit der Gabel in der linken Hand ohne Verletzung in den Mund findet."
437,"Frage an die Linkshänder: verwendet ihr auch das Besteck andersherum? ich hatte neulich eine Linkshänderin zu Gast und hab vorher Tisch gedeckt und überlegt, ihr Besteck andersherum aufzulegen. habs dann gelassen, mir aber vorgenommen, sie zu fragen, was ich dann natürlich vergessen habe... 

Deckt man ""korrekt"" einen Tisch, wenn man weiß, dass dort ein Linkshänder sitzen wird, spiegelverkehrt?"
438,"ist beim Schaufeln die rechte Hand vorne (Richtung Schaufel) und die linke hinten. Beim Kehren mit dem Besen macht es einen Unterschied, ob man nach vorne oder am Körper vorbei nach hinten kehrt."
439,"Siehe weiter unten:
Häufig passt wohl: Löffel-Gabel(n)-Teller-Messer
Dessertbesteck (""er liegt auf ihr"") wie sonst auch: Gabel oben, Zinken schauen rechts. Laffe des Löffels schaut nach links.
Serviette links.
Messerbänkchen natürlich auch rechts."
440,...und die Gläser tatsächlich spiegelverkehrt!
441,"JEDESMAL! zefix!
Also Dessert-Löffel (""er"") oben!!!!, Dessertgabel (""sie"") näher zum Teller."
442,"Als Baujahr 40 wurde ich natürlich in der Volksschule ""rechtsgerichtet"". Aber nach ca. zweijährigem Leidensweg hatte ich genug Selbstbewusstsein entwickelt, um mich als Beidhändiger den patscherten Rechtshändern überlegen zu fühlen."
443,"""Ja vielleicht wenn in Ämtern der Kugelschreiber rechts mit einer viel zu kurzen Kette festgemacht ist""

Oh ja, und auf der Bank!
Jedesmal eine Freue, die Schalterdame höflich um ein Schreibwerkzeug zu ersuchen und dann auf ihren Hinweis auf den Kettenstift mit einem Lächeln und dem Winken mit der linken Hand abzutun (wenn sie Glück hat und ich einen guten Tag)."
444,Nur wenn der Kunststoff des Gehäuses entsprechend (durch-)gestanzt ist.
445,"Der Standard ist ja nicht zufällig so aufgebaut wie er ist (auch bei den einzelnen ""Büchern"" sind die letzten Seiten oft die interessantesten). ;-)"
446,Mittlerweile alles widerlegt. (-:
447,"wollen das Messer rechts und die Gabel links, den Löffel oben in der Mitte allerdings mit dem Griff nach links. Alles andere Standard.
Ich trinke sehr oft beidhändig, das Wasserglas rechts, das Weinglas links."
448,"haben Schaltgetriebe - und die Autos sind eh für Linkshänder gebaut (links lenken, rechts schalten) - Automatik ist blöd, da hat dann der linke Fuß nichts mehr zu tun."
449,Wollen Sie die etwa befriedigen?
450,"Dahinter stehen eigentlich zwei Fragen. Warum sind die zwei Hände nicht gleich geschickt? Und wenn mal unterschiedlich, warum gerade die rechte Hand zumeist ""handlungsfähiger"" ist? Dahinter stehen wahrscheinlich evolutionäre Vorteile. 
Dass es eine Hand geschichter, bevorzugter, schneller ist, hat den klaren Vorteil, dass man reflexartig diese verwendet, wenn etwas schnell gemacht werden muss. Der Zeitverlust für die Entscheidung ""mit welcher Hand soll ich das tun?"" fällt weg. Dass es gerade die rechte Hand die ""auserwählte"" ist, könnte mit der Anatomie der inneren Organen zusammenhängen. Die Linke Seite des Körpers beinhaltet ein bißchen mehr ""Substantielles"" als die rechte Seite, z.B.Herz und Magen befinden sich eher auf der linken Seite"
451,"In meiner Familie weiß jeder sofort, wann ich den Tisch gedeckt habe: Alles verkehrt herum aufgelegt."
452,...und ein anderer Verschluss eingebaut wird.
453,"Linke Hand:
Lichtschalter, Gabel, Löffel, Feuerzeug, Schreiben

Beide Hände:
Hammer, Schraubenzieher, Touchpad

Rechte Hand:
jeglicher Sport mit Schlägern

ist evtl. auch Gewohnheit welche Hand man benutzt."
454,"Touchpad und Trackpoint links, Maus rechts."
455,"wurde umerzogen und bin nicht beidhändig geworden.
ich verwende die linke manchmal, hatte zb als jugendlicher etwas mehr kraft beim tragen. aber ansonsten und heutzutage nehme ich für fast alles die rechte.
hatte immer eine sauklaue und bekomme hier im forum gemischt viele rote stricherl.
ansonsten keine ahnung, es hat an bedeutung verloren..."
456,"Der LöffeL und die GabeL auf die linke und
das MesseR auf die rechte Seite."
457,Selfie nur mit links...
458,"das ist doch wirklich so was von egal, wenn man andersrum isst, wird man wohl einfach gabel und messer umtauschen;) so einfach ist das"
459,"echt jetzt? Für die Frage gibts du mir ein rotes Stricherl? Naja, wennst meinst.. 
Ich dachte einfach, es würde eventuell als höfliches Entgegenkommen gewertet werden, und ich bin gerne nett, auch zu meinen Gästen. 
Dass die das selber vertauschen können, und hoffentlich auch machen, ist mir schon klar. 
Aber offenbar sind sich die Leute eh nicht einig, wie es am besten wäre. Aber zumindest das Messer vertauschen und an die Griffrichtung beim Dessertlöffel denken- daran hätt ich von alleine nie gedacht, jetzt weiß ich, b ich dran denke, ist eine andere Frage."
460,"Ich wurde als Kind in den 70ern noch umtrainiert. Wie Rechtshänder mache ich: Schreiben, Gitarre spielen, Das Eßmesser führen (aber alle Küchenmesser links!); mit beiden Händen etwa gleich gut: Computermaus (aber: trackpad NUR links), Zeichnen, je nach Strichrichtung, aber links schon besser.
Alles andere links, sowohl in Sachen Kraft (Hammer, Schrubendreher, Tennisschläger) als auch Feinmotorik (Schere, Lötkolben)."
461,"SMS geht nur links, Fußball auch"
462,"Spiegelschrift hatte ich auch gemacht, aber ich glaube das hat mit Linkshändigkeit nichts zu tun, oder?"
463,"doch rein Marketing Käse.

Habe als Links Händer immer ""normal"" (rechtshänder) Gitarre gespielt...

Schreiben, Maus bedieden usw. exklusiv mit links.

Bier halten, Schere benutzen usw. alles problemlos auch mit rechts. Null problemo."
464,"das ""dich schlage ich mit links"" zum Beispiel beim Armdrücken, war für mich immer lustiger als für die anderen"
465,
466,genau so gehts mir auch :-)
467,"Ist einerseits zum Glück selten notwendig, im Fall des Falles: ""Kurzen Moment, muss den Hörer auf die andere Seite geben"", fühle mich in der Haltung dann aber ziemlich 'awkward'. Wenn ich einen Job hätte, wo ich regelmäßig am Festnetztelefon was aufschreiben muss, würde ich mich aber wohl relativ schnell daran gewöhnen (können). ;)"
468,Wenn ich mich als Linkshänder versuche: It takes longer and feels like somebody else.
469,das mit dem feuerzeug sollten Sie bleiben lassen ...
470,"Wenn Ihre rechte Hand verkehrt angeordnet ist (also Daumen außen), dann haben Sie wirklich ein Problem. :-)"
471,"wir Linkshänder brauchen doch gar keine ""linkshänderscheren"", wir haben gelernt, mit den Widrigkeiten des Lebens umzugehen,"
472,"Ich persönlich verwende das Besteck anders herum, bin aber keinem böse wenn normal aufgedeckt wird ;) Hätte da denke ich eher das Gefühl dass sich jetzt jemand quasi unnötigen Aufwand für mich gemacht hat..."
473,Punkt.
474,"Doch, ich brauche Linkshänderscheren. Mit den anderen geht gar nichts, deshalb verwende ich oft Messer statt Scheren."
475,"Schreiben war für mich immer ein Horror, da bin ich sehr dankbar, das wir im digitalen Zeitalter sind. Scheren sind für mich unbrauchbar wenn keine Linkshänderscheren, allerdings spiele ich einen ganz normalen E-Bass, ich finde die linke Hand auch viel herausfordernder als die Rechte."
476,"ich kann mir nicht vorstellen , dass man mit einem Messer besser schneiden kann"
477,"Die Maus bediene ich mit rechts, sonst mache ich fast ales mit links. Ich schneide auch mit der linken Hand und wechsle dann zwischen Gabel und Messer und esse dann auch mit der Linken.

Ich hatte nie Schwierigkeiten, habe mich immer angepasst, aber das Einzige, was ich mit beiden Händen gut kann ist wahrscheinlich das Klavierspielen.Anfangs problemlos, aber später doch spürbar, dass für das Feinmotorische und Führende die LH besser ist und ich mehr die RH üben musste, Das hat sowohl gute als auch schlechte Seiten, ist aber sehr interessant. :)

Schreiben kann ich (lesbar) nur mit links, und das - wurde mir gesagt - untypisch für eine Linkshänderin: http://i57.tinypic.com/2evyxio.jpg"
478,"linkshändigkeit ist doch nicht normal.

ich hab' ja nichts gegen linkshänder, aber die sollen doch bitte ihre veranlagung zuhause ausleben. 

wer unbedingt linkshändig sein will, soll das doch bitte für sich behalten, und nicht die öffentlichkeit damit belästigen.

und dass diese leute gleiche rechte wie normale menschen verlangen bzw. sogar bekommen, ist ja wirklich arg! ungleiches kann nicht gleich behandelt werden.

bald muss man sich ja sogar dafür rechtfertigen, nicht linkshändig zu sein ....

.

vielleicht geht manchen ein licht auf, wenn sie das nächste mal in bezug auf andere ""nicht normale"" minderheiten solche sprüche loslassen?"
479,"ich bin so ""hundertprozentiger"" rechtshänder, dass ich beim essen ständig zwischen messer und gabel wechsle. ich schneide mit dem messer rechts, aber danach tausche ich messer und gabel aus, um rechts mit der gabel die speisenstücke zum mund zu führen (weil ich links offenbar zu patschert dazu bin).
das passiert automatisch, ohne darüber nachzudenken. 
ich hab das sonst noch nie bei jemandem beobachtet (allerdings schaue ich den leuten beim essen auch nicht genau auf die finger) ;o)"
480,"ist mir nicht bekannt.
daher verstehe ich nicht warum dann in den schulen/kindergärten alles nur in ""rechtshänderausführung"" vorhanden ist."
481,"...gibt es sie szene wo sein trainer anmerkt das rocky in der ""linksauslage"" boxt was er jedoch nicht wirklich gutheissen will...ja schlimmer noch..er merkt sogar an das man boxer in der linksauslage gar nicht boxen lassen sollte (verletzungsgefahren).
stimmt das?
weiters im film wird rocky dann ""umtrainiert"" - er soll also mitten im kampf von der linksauslage in die rechtsauslage wechseln und so seinen gegner ""überraschen"". ist so etwas im profiboxbereich überhaupt denkbar oder typisch ""hollywood""?"
482,"wir waren und sind aber beide rechtshänder.
als kinder machten wir einen schikurs und waren nicht in der lage ""kurven"" zu lernen...also gab uns beide der schilehrer auf! er nannte uns untalentiert und unfähig. wir nahmen das ""so"" zur kenntnis.

jahrzehnte später, um die 32j. herum, sind wir dann wieder auf die schi gestiegen und haben uns beide carver gekauft (komplette ausrüstung). diesesmal ohne lehrer versucht....einen halben tag nichts ausser stürze fabriziert...am nachmittag ging es dann langsam....nach zwei, drei ausflügen fuhren wir dann ""sicher""."
483,"Ich habs so: Loeffel, Gabel (egal ob mit oder ohne Messer), und Glas links. Ist mir aber nicht wirklich wichtig - das Umsortieren auf ""meine Art"" passiert meist unbewusst. 

Was aber speziell bei einem kleinen Tisch mit mehreren Gaesten zu beachten ist: Linkshaender rechts von Rechtshaendern kann zu ungewollten Ellbogengefechten fuehren. Ich sitzte daher immer lieber am linken Rand. Wenn links ums Eck wieder ein Rechtshaender sitzt, kanns dann aber dafuer leicht zu Verwechslungen zwischen deren Glas auf der rechten und meinem auf der Linken kommen..."
484,"hält man als Mann mit der linken oder rechten Hand das Zumpferl beim Wischerln...
;-P"
485,"Rechts:
Gabel/Löffel
Maus
Werfen auf größere Distanz
Schreiben wie ein 7jähriger

Links:
Schreiben
Schneiden
Werfen auf Kurzdistanz (genau)
Schwer tragen/heben

Rechtshänderscheren kann ich durchaus benutzen auch mit Links, was auf Dauer allerdings zum umgreifen führt da Krampf.

Schreiben war schon in der VS sehr lustig, mit Tinte am ganzen arm - wahrscheinlich deswegen war ich irgendwann der Rebell der trotzdem den Kuli nutzte.."
486,"Ich hab eine Zeit lang versucht, die Tastenbelegungen bei der Computermaus umzustellen um mit links die Maus besser zu bedienen aber sobald du an einem anderen Rechner sitzt wird das zur Katastrophe. Jetzt bediene ich die Maus mit links mit den üblichen Tastenbelegungen - bevorzugt kabellos! Das geht gut wenns keine ""ergonomische"" Maus ist die nur für Rechtshänder passt.
Meine erste Linkshänderschere hab ich vor ein paar Jahren bekommen aber ich bin so an die anderen gewöhnt dass ich mit der nicht zurechtkomme!"
487,"auch verkrampfte rechte hände, weil sie nicht einmal den rechtshändern helfen entspannt beim schreiben zu sitzen.
würde wahrscheinlich als ""drill"" empfunden werden."
488,"Ich wollte als Kind alles links machen, wäre also eindeutig eine LInkshänderin geworden, wenn man mich nicht auf rechts ""umerzogen"" hätte. Eine positive Folge ist, dass ich heute beidhändig bin, kann also fast alles sowohl links als auch rechts recht gut machen. Dafür habe ich extreme Orientierungsstörungen und sonstige mentale Probleme, von denen ich aber nicht weiß, ob ich sie nicht sowieso hätte, aber eine Kollegin von mir hat sehr ähnliche und auch sie wurde ""umgelernt"" als Kind."
489,"flöte für linkshänder?
http://www.moeck.com/cms/index.php?id=202
wie passend, gerade die hier zu präsentieren. z.b. bei gitarren ist der unterschied ungleich massiver.

denkanstoss am rande: wie handhaben das in einem gemischten haushalt: haben sie jedes werkzeug doppelt, oder muss sich doch wieder einer umtrainieren?"
490,"genau, unsere schulen und kindergärten haben ja eh so viel budget, da sollte es kein problem sein, alles doppelt zu haben.
die einzige praktikable lösung wäre es linkshänder und rechtshänder zu trennen.
nur, wenn sie dann später einen von der anderen fraktion als partner wählen, müssen sie zuhause alles doppelt haben.
vielleicht wäre es am cleversten, beiden beidhändigkeit anzutrainieren."
491,"Einer meiner Lieblingsgegenstände in der Küche ist so ein 1 Liter Becher mit Beschriftungen aller Art für verschiedene Inhalte (Milliliter für Flüssigkeiten, Gramm für Mehl...).

Jedesmal wenn ich den mit Wasser befülle (linke Hand natürlich) sind die Beschriftungen auf der Rückseite und die Turnübung kann beginnen.... ;-)"
492,"Es reicht schon, wenn man darauf achtet nur symmetrische Haushaltsgeräte zu kaufen. Vieles (z.B. Sparschäler) gibt es ja für beides. Andere Dinge hat man ohnehin oft doppelt oder mehrfach (z.B. Scheren)."
493,"is ok ;) leider kann man immer noch nicht Beiträge editieren, wollte ich nämlich eigentlich machen."
494,"""Ich schneide auch mit der linken Hand und wechsle dann zwischen Gabel und Messer und esse dann auch mit der Linken.""

Das legt Sie mehr als Amerikanerin fest als als Linkshänderin."
495,"Nein.

Ich esse ja nicht einhändig und ich schneide nicht zuerst alles in kleine Stücke, um Himmels Willen. Ich schneide mit der linken Hand (Messer links, Gabel rechts), weil ich mit der Rechten nicht schneiden kann (zumindest nicht so gut, um mich dabei wohl zu fühlen) und dann nehme ich die Gabel in die linke Hand und esse. Wenn ich noch ein Stückchen schneiden muss, dann mache ich das ganze Spiel noch einmal. Das geht ganz unaufällig."
496,ausser in england.
497,"die stg-problematik hat eher mit dem führenden auge, als mit der führenden hand zu tun. ich weiss nicht, ob es eine tendenz zu rechte hand-rechtes auge und linke hand-linkes auge gibt, jedenfalls gibt es aich rechtshänder, deren führendes auge das linke ist - und die deshalb mit links abziehen.

ausserdem kann man den auswurf beim stg sowieso auf links umschalten."
498,"...FREIHÄNDIG!"""
499,"Überhaupt kein Problem, nett dass Sie nachfragen! Ganz normal decken ist vollkommen OK, wir sind es nicht gewohnt, dass extra für uns umgedeckt wird und es wird andere Gäste wahrscheinlich verwirren und uns vielleicht auch.
Messer und Gabel - wie ein Rechtshänder aber in dem Moment wo ich nur ein Teil in der Hand habe wechsle ich zu:
Nur Messer (Brot streichen/schneiden) Messer links
Nur Löffel (Suppe, Nachspeise...) Löffel links.
Trinkglas links."
500,"Ich bitte als Patient immer darum, Infusionen, Spritzen, Blutabnehmen etc. rechts und weise darauf hin, dass ich Linkshänder bin. Die Reaktionen sind unterschiedlich :-)"
501,Ich weiß immer wenn jemand an meinem Computer war. weil die Maus auf der rechten Seite liegt.
502,"Als Baujahr 1949 hat mich der Druck die “Schöne Hand"" (rechts) zu verwenden voll erwischt. Als 2-3 Jähriger habe ich schon schön gesprochen. Als ich einen „Rechtshänderlöffel“ (Stiel und Vorderteil stehen im 90 Grad Winkel nach links zueinander und zwingt zum Essen mit der rechten Hand ) bekam, begann ich zu Stottern. Ein Freund meiner Eltern, der aus den USA auf Besuch kam, berichtete meinem Vater (Mittelschulprofessor) von Legasthenie und Linkshändigkeit und man soll nicht umgewöhnen. Danach war das Stottern wieder weg. In der Volksschule (Übungsschule einer Lehrerbildungsanstalt) musste ich mit der rechten Hand schreiben, was ich nicht konnte. So habe ich kaum Schreiben gelernt! Erst in der AHS Oberstufe, wurde es besser."
503,wenn ich meinen befülle (links halte und rechts den Wasserhahn bediene) habe ich die Werte auch hinten. das Ding ist aber schon sehr alt.
504,"In der VS hben sie einmal gekocht und mein Kind war zum Tischdecken eingeteilt. Überall hat er die Löffel links neben den Teller gelegt. Erst da ist es ihm gesagt worden, dass der Löffel eigentlich rechts neben den Teller gehört. 
Ich habe zuhause eben nur für ihn den Löffel links gelegt. Ansonsten hat er - glaube ich - keine großen Probleme mit der Linkshändigkeit. Er hat damals auch in den 70ern eine Linkshänderfüllfeder bekommen."
505,"Also ich mit beiden, damit ich keine Sehnenscheidenentzündung bekomme. ;-)"
506,verschränken die Arme gleich - und das schon seit immer
507,da habe ich auch immer die falsche Seite offen - was ist daran ein Linkshänderproblem?
508,"es geht nicht ums sitzen, sondern um die haltung der hand."
509,ja sag amal...
510,"so sind sie, die linkshänderinnen ..."
511,"...aber ich denke, dass man als Linkshänder dazu tendiert die Schachtel auf der linken Seite (von oben betrachtet - wo auch die Braille-Prägung ist) zu öffnen, und dort ist halt immer der Beipackzettel, den man eh schon hundertmal gelesen hat, und der einen an der Entnahme der Blister hindert.

Ein wirkliches Problem ist das für sich allein genommen nicht, aber in Verbindung mit den zahllosen anderen angeführten Beispielen (s.u. und s.o.) scheint es mir - cum grano salis - zur angeblichen geringeren Lebenserwartung der Linkshänder (habe ich irgendwo einmal gelesen - bitte keine Quellenangabe verlangen) beizutragen."
512,"benutze meist die rechte Hand, habe kaum schlechte Erfahrungen als Linkshänder /in zu vermelden"
513,Alle haben eh schon diesen Ritsch-Mechanismus mit Ring. Und selbst wenn der abbricht geht es einfacher mit einem Messer in die Öffnung fahren und das ganze aufhebelnals mit dem (sündteuren) Dosenöffner.
514,"...aber linksmauser, linkstrinker, linksraucher und linkskiffer. probleme gibt es nur, wenn das alles gleichzeitig passieren muss."
515,"es braucht seine zeit, bis man sich daran gewoehnt."
516,"also das mit dem Schalten ist ein schlechtes Beispiel da in Ländern mit Linksverkehr auch die meisten Leute Rechtshänder sein werden, und trotzdem mit den Fahrzeugen zurechtkommen."
517,"Ist alles eine Sache der Gewöhnung.

Ich schreibe (leider) auch mit links, bin aber der Meinung, dass rechts genau so gut funktioniert hätte. Leider haben meine Eltern nichts dagegen unternommen.

Sonst mach ich alles andere mit rechts. Scheren kann ich mit links und rechts verwenden. PC-Maus nur mit rechts."
518,viele linkshänder tools sind richtig sinnlos aber eine schere für linkshänder ist was richtig komfortables.
519,dann versuchen sie mal eine linkshänderschere - klar geht´s auch mit einer normalen aber der unterschied ist eklatant.
520,"in der tierwelt ist die verteilung anscheinend re 50% li 45% beide 5%; sagt vermutlich was über das bereits vorschulische, unbewusste umlernen von kindern aus (z.b. den löffel od. stift autom. in die rechte geben)"
521,"also ich halte das besteck wie jeder rechtshänder, kann aber bei anderen linkshändern anders sein. ist, denke ich, einfach nur eine reine gewohnheitssache. ich hab die maus auch in der rechten. als die damals aufkamen, dachte kein mensch daran, dass ein linkshänder die in der 
anderen haben will. ich kenne auch einige rechtshänder die auf die linke (maus) umgelernt haben, weil sie probleme in der schulter bekamen. wenn man will (oder muss) geht bei der händigkeit sehr vieles. die linkshänder wissen das, die rechtshänder nur im extremfall"
522,"Folgende Fragestellung wäre noch interessanter:
Welche Erfahrungen haben Sie mit Linkshändern gemacht?"
523,"Ich selbst kann oder will rinks und lechts spontan noch immer nicht unterscheiden und mir fällt es daher eigentlich auch gar nicht auf, wie die anderen es machen. Mich stört es allerdings mittlerweile, wenn mich jemand darauf anspricht."
524,"Nachdem auch meine Mutter (alles außer schreiben) und mein Bruder Linkshänder sind, hatte ich zuhause nie Probleme mit Scheren und Kartoffelschälern. Ja leichte Legasthenie hab ich auch, man sieht ja nicht was man gerade geschrieben hat. Zwecks der scheusligen Handschrift und allgemeinem Interesse hab ich mich dann dem Computer Programmieren zugewandt."
525,es ist im heutigen profibereich ohnehin unerlässlich beidfüß..aäh..händig zu sein.
526,"habe heute aufgepasst und eine Packung vom Gelsenstichmittel rechts von der Braille-Prägung aufgemacht und auf den Beipackzettel geblickt! Also links öffnen war richtig. Ist offenbar wurscht, ich erwisch es immer falsch."
527,"ja stimmt - die füllfeder :)
wie meine lehrer in der volksschule geflucht haben, weil ich ständig die tinte verschmiere :D"
528,
529,".... was rechtshändern vermutlich unmöglich ist.

vor nicht allzu langer zeit habe ich ein interview mit einer linkshändigen flötistin gehört, die geschildert hat, dass sich ihr ""eine neue welt"" aufgetan hatte, als sie nach langen jahren mit einer üblichen querflöte eine linkshänder-querflöte bekam."
530,"Meine Dosenöffner kamen immer aus dem €-shop, daher zum Glück nicht teuer. 
Ich habe aber auch lange darauf verzichtet, bis ich gemerkt habe, dass es leider doch vereinzelt Dosen gibt die ohne Ring daherkommen. Bei Kokosmilch ist mir das zB. schon öfter passiert."
531,"höflichkeit ist gut, übertriebende höflichkeit ist eigenartig"
532,"gehört im kindesalter umgelernt , ganz einfach."
533,Ich hab sogar zwei linke Haende ...
534,"Also beim Lulumachen hab ich keine Angst wg. Sehnenscheidenentzuendung und die andere Taetigkeit, die Sie vermutlich meinen, hab ich outgesourct :)"
535,Heimwerkerkoenig.
536,"Linkshänder sind üblicherweise - lt. meiner Erfahrung - eher beidhändig veranlagt (nicht so wie viele Rechtshänder die mit Links kaum was machen können) und benutzen lediglich zum Schreiben links (weil da die Steuerung eine Kleinigkeit besser geht).

Somit hat ein Linkshänder in unserer rechten Gesellschaft weniger Probleme als wenn es umgekehrt wäre.

Auch klar, unsereiner musste sich von der Kindheit weg anpassen ..."
537,Schon mal ein Stg in der Hand gehabt? Unsere konnte man nicht umschalten (ohne beim Kunststoff ein Rechteck rauszufräsen)
538,"Auto ist ein schlechtes Beispiel (wie schon im Artikel steht), denn es gibt Länder, wo die (in der Mehrheit befindlichen) Rechtshänder mit der linken Hand schalten müssen.
Ich halte das auch nicht für so ein Problem, das zu lernen.
Beim Motorrad brauch ich auch beide Hände und da werden wichtige Funktionen (Kuppeln) mit der linken Hand erledigt. Das war für mich als Rechtshänder auch nie ein Problem."
539,"Frei nach Falco: Wer sich daran erinnern kann, hat es nicht erlebt."
540,Da war ich Drei..
541,"das war das jahr, in dem mein leben zum zweiten mal begann. werde es nie vergessen. es war wie ein traum. zum ersten mal richtig geld verdient, alle schulden getilgt und es so richtig krachen lassen. alle waren gaut drauf, denn es herschte aufbruchsstimmung, egal wo.
könnte ich mich zurückbeamen, würde ich den 01.01.1989 wählen."
542,"politischer umbruch, von mauern die es plötzlich nicht mehr gab. dass sich etwas besonderes ereignete konnte ich damals nur erahnen. ich war noch klein, aber dass sich hier etwas beonderes ereignete sah ich an meiner mutter, die mit tränen in den augen das ganze im fernsehen verfolgte..."
543,"Mit gebrochenem Herzen.

Ich war dreizehn.
Sie auch."
544,"das war eine unserer hymnen damals:

https://www.youtube.com/watch?v=iD77vPD-zCQ"
545,"Meine Älteste kam gerade in den Kindergarten und ich (knapp 30) saß fassungslos vor dem Fernseher und habe die Tragweite nicht gerafft von dem, was ich da sah. Ich hatte so Gedanke wie, eyyy, meine Kinder wachsen ohne Eisernen Vorhang auf!"
546,Ja 1989 war die Welt wirklich noch in Ordnung
547,"Uups, habe Ihr Post erst jetzt bemerkt...
habe aber nicht bei Ihnen abgeschrieben..."
548,Hm. Ich hatte damals starke berufliche und private Beziehungen nach Jugoslawien und für mich war die Welt nicht mehr sehr in Ordnung.
549,"Ich darf dazu nichts sagen,
musste mich hier, um meinem Nick zu entsprechen,
mit individuellem Geburtsdatum anmelden."
550,"Auf jeden Fall habe ich da bereits gelebt, nur ich war in dieser Zeit so mit mir selbst und dem Überleben in der Schule beschäftigt, dass ich nur sehr oberflächliche Erinnerungen an dieses Jahr habe...

Z.B. und u.a.
* Es gab noch Bundfaltenjeans, die zu kurz waren, weiße Socken dazu, dieses Ensemble war gerade dabei out zu werden (ich habe zwar beides nie getragen)...
* Mit Dauerwellen und VoKuHiLa musste man/frau sich noch nicht schämen...
* Conny vom U4 war noch relativ jung...
* Nia sah da noch verdammt gut aus...
* es wurde überall geraucht, auch noch im Flugzeug...
* es gab nicht so verdammt viele Regeln da draußen, also für mich halt leider schon (Schule, Lehrer, Eltern)..."
551,"Ohne nachzusehen, hätte ich wetten können zu wissen, von wem Du rot erhalten hast und BINGO....ich habe gegen mich gewonnen. ;o)"
552,";-) Überwinden Sie sich doch, ich habe es auch getan...gerade soeben..."
553,
554,"Es gab das alles.
Und dann gab es mich.
1989 war das zweitschlimmste Jahr meines Lebens.
Sie war blond und hatte ein Lächeln, das die Sonne überstrahlte.

Ich hasse sie heute noch.

1990 war aber ein echt cooles Jahr."
555,oje.
556,Baroli ist aus Prinzip dagegen. Damit uns nicht langweilig wird.
557,So langweilig wie ihr wird uns nie sein. *broflosse*
